0	00	xx	00
Read_Strobe	PORT_ID	Keyboard_Output	Key
1	05	00	00
0	06	00	00
1	06	00	00
0	07	00	00
1	07	00	00
0	07	00	00
1	05	0b	78
0	06	0b	78
1	06	01	78
0	07	01	78
1	07	01	78
0	07	00	78
1	05	06	05
0	06	06	05
1	06	00	05
0	07	00	05
1	07	00	05
0	07	00	05
1	05	05	0d
0	06	05	0d
1	06	00	0d
0	07	00	0d
1	07	00	0d
0	07	00	0d
1	05	04	0d
0	06	04	0d
1	06	00	0d
0	07	00	0d
1	07	00	0d
0	07	00	0d
1	05	06	0d
0	06	06	0d
1	06	00	0d
0	07	00	0d
1	07	00	0d
0	07	00	0d
1	05	05	0d
0	06	05	0d
1	06	00	0d
0	07	00	0d
1	07	00	0d
0	07	00	0d
1	05	05	1e
0	06	05	1e
1	06	02	1e
0	07	02	1e
1	07	00	1e
0	07	00	1e
1	05	05	16
0	06	05	16
1	06	21	16
0	07	21	16
1	07	00	16
0	07	00	16
1	05	05	5a
0	06	05	5a
1	06	21	5a
0	07	21	5a
1	07	01	5a
0	07	00	5a
1	05	00	5a
0	06	00	5a
1	06	00	5a
0	07	00	5a
1	07	00	5a
0	07	00	5a
